Name,Year,Letterboxd URI
From Justin to Kelly,2003,https://letterboxd.com/film/from-justin-to-kelly/
Funny Face,1957,https://letterboxd.com/film/funny-face/
Galaxy Express 999: The Movie,1979,https://letterboxd.com/film/galaxy-express-999-the-movie/
Girlfriends,1978,https://letterboxd.com/film/girlfriends-1978/
Girlhood,2014,https://letterboxd.com/film/girlhood-2014/
Godspell,1973,https://letterboxd.com/film/godspell-1973/
Gold Diggers of 1933,1933,https://letterboxd.com/film/gold-diggers-of-1933/
Guy and Madeline on a Park Bench,2009,https://letterboxd.com/film/guy-and-madeline-on-a-park-bench/
Guys and Dolls,1955,https://letterboxd.com/film/guys-and-dolls/
Hair High,2004,https://letterboxd.com/film/hair-high/
Hairspray,1988,https://letterboxd.com/film/hairspray/
Hairspray,2007,https://letterboxd.com/film/hairspray-2007/
Heat,1995,https://letterboxd.com/film/heat-1995/
Hedgehog in the Fog,1975,https://letterboxd.com/film/hedgehog-in-the-fog/
Hit Man,2023,https://letterboxd.com/film/hit-man-2023/
Hold Me While I'm Naked,1966,https://letterboxd.com/film/hold-me-while-im-naked/
Hunt for the Wilderpeople,2016,https://letterboxd.com/film/hunt-for-the-wilderpeople/
I Used to Be Funny,2023,https://letterboxd.com/film/i-used-to-be-funny/
I Want to Eat Your Pancreas,2018,https://letterboxd.com/film/i-want-to-eat-your-pancreas/
"I'm a Cyborg, But That's OK",2006,https://letterboxd.com/film/im-a-cyborg-but-thats-ok/
In This Corner of the World,2016,https://letterboxd.com/film/in-this-corner-of-the-world/
In the Mood for Love,2000,https://letterboxd.com/film/in-the-mood-for-love/
Junk Head,2017,https://letterboxd.com/film/junk-head/
Kajillionaire,2020,https://letterboxd.com/film/kajillionaire/
Lady Snowblood,1973,https://letterboxd.com/film/lady-snowblood/
Lady Vengeance,2005,https://letterboxd.com/film/lady-vengeance/
Lagaan: Once Upon a Time in India,2001,https://letterboxd.com/film/lagaan-once-upon-a-time-in-india/
Landscape in the Mist,1988,https://letterboxd.com/film/landscape-in-the-mist/
Linda Linda Linda,2005,https://letterboxd.com/film/linda-linda-linda/
Liz and the Blue Bird,2018,https://letterboxd.com/film/liz-and-the-blue-bird/
Los Angeles Plays Itself,2003,https://letterboxd.com/film/los-angeles-plays-itself/
Lu Over the Wall,2017,https://letterboxd.com/film/lu-over-the-wall/
Marie Antoinette,2006,https://letterboxd.com/film/marie-antoinette-2006/
Memories,1995,https://letterboxd.com/film/memories/
Mind Game,2004,https://letterboxd.com/film/mind-game/
Mishima: A Life in Four Chapters,1985,https://letterboxd.com/film/mishima-a-life-in-four-chapters/
Miss Hokusai,2015,https://letterboxd.com/film/miss-hokusai/
Modest Heroes,2018,https://letterboxd.com/film/modest-heroes/
Mommy,2014,https://letterboxd.com/film/mommy-2014/
Monster,2023,https://letterboxd.com/film/monster-2023/
Moonstruck,1987,https://letterboxd.com/film/moonstruck/
My Dinner with Andre,1981,https://letterboxd.com/film/my-dinner-with-andre/
My Life as a Zucchini,2016,https://letterboxd.com/film/my-life-as-a-zucchini/
Nashville,1975,https://letterboxd.com/film/nashville/
"New York, New York",1977,https://letterboxd.com/film/new-york-new-york/
One Cut of the Dead,2017,https://letterboxd.com/film/one-cut-of-the-dead/
Operation Mincemeat,2021,https://letterboxd.com/film/operation-mincemeat-2022/
Orion and the Dark,2024,https://letterboxd.com/film/orion-and-the-dark/
Pennies from Heaven,1981,https://letterboxd.com/film/pennies-from-heaven/
Pirates of the Caribbean: The Curse of the Black Pearl,2003,https://letterboxd.com/film/pirates-of-the-caribbean-the-curse-of-the-black-pearl/
PlayTime,1967,https://letterboxd.com/film/playtime/
Prey,2022,https://letterboxd.com/film/prey-2022/
Queer,2024,https://letterboxd.com/film/queer-2024/
Ragtime,1981,https://letterboxd.com/film/ragtime/
Rhinestone,1984,https://letterboxd.com/film/rhinestone/
Robot Monster,1953,https://letterboxd.com/film/robot-monster/
Romeo + Juliet,1996,https://letterboxd.com/film/romeo-juliet-1996/
Run Lola Run,1998,https://letterboxd.com/film/run-lola-run/
Saving Face,2004,https://letterboxd.com/film/saving-face/
School of Rock,2003,https://letterboxd.com/film/school-of-rock/
Serial Mom,1994,https://letterboxd.com/film/serial-mom/
Seven Samurai,1954,https://letterboxd.com/film/seven-samurai/
Short Term 12,2013,https://letterboxd.com/film/short-term-12-2013/
Son of the White Mare,1981,https://letterboxd.com/film/son-of-the-white-mare/
Sorcerer,1977,https://letterboxd.com/film/sorcerer/
Sorry to Bother You,2018,https://letterboxd.com/film/sorry-to-bother-you/
Still Walking,2008,https://letterboxd.com/film/still-walking/
Suitable Flesh,2023,https://letterboxd.com/film/suitable-flesh/
Suspiria,1977,https://letterboxd.com/film/suspiria/
Swing Girls,2004,https://letterboxd.com/film/swing-girls/
Tekkonkinkreet,2006,https://letterboxd.com/film/tekkonkinkreet/
The Adventures of Prince Achmed,1926,https://letterboxd.com/film/the-adventures-of-prince-achmed/
The Astounding She-Monster,1957,https://letterboxd.com/film/the-astounding-she-monster/
The Band Wagon,1953,https://letterboxd.com/film/the-band-wagon/
The Beast Pageant,2010,https://letterboxd.com/film/the-beast-pageant/
The Beauty Inside,2015,https://letterboxd.com/film/the-beauty-inside/
The Big Lebowski,1998,https://letterboxd.com/film/the-big-lebowski/
The Brothers Bloom,2008,https://letterboxd.com/film/the-brothers-bloom/
The Case of Hana & Alice,2015,https://letterboxd.com/film/the-case-of-hana-alice/
The Colors Within,2024,https://letterboxd.com/film/the-colors-within/
The Cube,1969,https://letterboxd.com/film/the-cube/
The Edge of Seventeen,2016,https://letterboxd.com/film/the-edge-of-seventeen/
The First Slam Dunk,2022,https://letterboxd.com/film/the-first-slam-dunk/
The General,1926,https://letterboxd.com/film/the-general/
The Girl Without Hands,2016,https://letterboxd.com/film/the-girl-without-hands/
The Girl from the Other Side,2022,https://letterboxd.com/film/the-girl-from-the-other-side-2022/
The Handmaiden,2016,https://letterboxd.com/film/the-handmaiden/
The Hudsucker Proxy,1994,https://letterboxd.com/film/the-hudsucker-proxy/
The Joker is Wild,1957,https://letterboxd.com/film/the-joker-is-wild/
The Joy Luck Club,1993,https://letterboxd.com/film/the-joy-luck-club/
The King of Comedy,1982,https://letterboxd.com/film/the-king-of-comedy/
The Kingdom of Dreams and Madness,2013,https://letterboxd.com/film/the-kingdom-of-dreams-and-madness/
The Lady from Shanghai,1947,https://letterboxd.com/film/the-lady-from-shanghai/
The Last Temptation of Christ,1988,https://letterboxd.com/film/the-last-temptation-of-christ/
The Outrun,2024,https://letterboxd.com/film/the-outrun/
The Pee Pee Poo Poo Man,2024,https://letterboxd.com/film/the-pee-pee-poo-poo-man/
The Philadelphia Story,1940,https://letterboxd.com/film/the-philadelphia-story/
The Piano Lesson,2024,https://letterboxd.com/film/the-piano-lesson-2024/
The Rabbi's Cat,2011,https://letterboxd.com/film/the-rabbis-cat/
The Red Shoes,1948,https://letterboxd.com/film/the-red-shoes/
The Summer,2023,https://letterboxd.com/film/the-summer-2023/
The Swallows of Kabul,2019,https://letterboxd.com/film/the-swallows-of-kabul/
The Testament of Ann Lee,2025,https://letterboxd.com/film/the-testament-of-ann-lee/
The Thing from Another World,1951,https://letterboxd.com/film/the-thing-from-another-world/
The Tragedy of Man,2011,https://letterboxd.com/film/the-tragedy-of-man/
The Travelling Players,1975,https://letterboxd.com/film/the-travelling-players/
The Umbrellas of Cherbourg,1964,https://letterboxd.com/film/the-umbrellas-of-cherbourg/
The Western Ore Musical,2009,https://letterboxd.com/film/the-western-ore-musical/
The Wizard of Oz,1925,https://letterboxd.com/film/the-wizard-of-oz/
The Worst Person in the World,2021,https://letterboxd.com/film/the-worst-person-in-the-world/
The Year My Voice Broke,1987,https://letterboxd.com/film/the-year-my-voice-broke/
Thelma & Louise,1991,https://letterboxd.com/film/thelma-louise/
This Is Spinal Tap,1984,https://letterboxd.com/film/this-is-spinal-tap/
Time Piece,1965,https://letterboxd.com/film/time-piece/
To Die For,1995,https://letterboxd.com/film/to-die-for/
Tokyo!,2008,https://letterboxd.com/film/tokyo/
Trainspotting,1996,https://letterboxd.com/film/trainspotting/
Trog,1970,https://letterboxd.com/film/trog/
Tropic Thunder,2008,https://letterboxd.com/film/tropic-thunder/
Unedited Footage of a Bear,2014,https://letterboxd.com/film/unedited-footage-of-a-bear/
We Live in Time,2024,https://letterboxd.com/film/we-live-in-time/
Weathering with You,2019,https://letterboxd.com/film/weathering-with-you/
What's Eating Gilbert Grape,1993,https://letterboxd.com/film/whats-eating-gilbert-grape/
White Noise,2022,https://letterboxd.com/film/white-noise-2022/
Xanadu,1980,https://letterboxd.com/film/xanadu/
Yor: The Hunter from the Future,1983,https://letterboxd.com/film/yor-the-hunter-from-the-future/
